epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,139.484,0.63064,0.93936,0.33984,0.92014,0,0.98943,1,0.995,0.87966,0.98943,1,0.995,0.8542,0.57754,1.02741,0.25282,0.84853,0,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,145.225,0.63023,0.89799,0.37844,0.91542,0,0.99015,1,0.995,0.87524,0.99015,1,0.995,0.85989,0.57912,1.0555,0.2329,0.86481,0,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,151.928,0.60997,0.91352,0.31999,0.90676,0,0.99081,1,0.995,0.88671,0.99081,1,0.995,0.83319,0.49745,1.15324,0.20988,0.83433,0,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,158.16,0.63514,0.90739,0.32528,0.90452,0,0.99045,1,0.995,0.87135,0.99045,1,0.995,0.84575,0.48939,0.87328,0.28276,0.82388,0,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,165.116,0.60238,0.83967,0.31899,0.91191,0,0.99099,1,0.995,0.89452,0.99099,1,0.995,0.875,0.49681,1.07182,0.2522,0.81733,0,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,171.481,0.54386,0.89919,0.29532,0.88718,0,0.99077,1,0.995,0.91794,0.99077,1,0.995,0.83131,0.49362,1.15852,0.25702,0.81858,0,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,177.69,0.60105,0.8455,0.32189,0.90107,0,0.99021,1,0.995,0.94067,0.99021,1,0.995,0.9039,0.41666,1.04556,0.22302,0.81401,0,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,183.709,0.56981,0.78159,0.30041,0.89596,0,0.99085,1,0.995,0.89452,0.99085,1,0.995,0.87298,0.4854,1.02362,0.25367,0.82998,0,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,189.84,0.57607,0.82387,0.30621,0.86068,0,0.99093,1,0.995,0.92571,0.99093,1,0.995,0.90279,0.46538,1.04468,0.21,0.82255,0,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,195.54,0.57394,0.85984,0.3104,0.88961,0,0.99101,1,0.995,0.86109,0.99101,1,0.995,0.80943,0.65183,1.40337,0.24742,0.88172,0,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
